approach,char,ssim,ink_coverage,pixel_entropy,sharpness
05_CharNet,y,0.8568,0.025,0.1685,0.7311
05_CharNet,z,0.8683,0.0262,0.1752,0.7311
05_CharNet,A,0.8453,0.0247,0.1672,0.7311
05_CharNet,B,0.8069,0.0312,0.2003,0.7311
05_CharNet,C,0.8018,0.0319,0.2036,0.7311
05_CharNet,D,0.7743,0.0383,0.2346,0.7311
05_CharNet,E,0.8277,0.0237,0.1616,0.7311
05_CharNet,F,0.8572,0.0197,0.1398,0.7311
05_CharNet,G,0.8197,0.0264,0.1758,0.7311
05_CharNet,H,0.8598,0.0219,0.1517,0.7311
05_CharNet,I,0.8684,0.0245,0.1659,0.7311
05_CharNet,J,0.8442,0.0253,0.1701,0.7311
05_CharNet,K,0.87,0.0178,0.1287,0.7311
05_CharNet,L,0.8438,0.0264,0.1762,0.7311
05_CharNet,M,0.8433,0.0251,0.1694,0.7311
05_CharNet,N,0.8368,0.0358,0.2228,0.7311
05_CharNet,O,0.8015,0.0352,0.2196,0.7311
05_CharNet,P,0.8425,0.0247,0.1669,0.7311
05_CharNet,Q,0.8026,0.0319,0.2036,0.7311
05_CharNet,R,0.8495,0.0158,0.1172,0.7311
05_CharNet,S,0.8264,0.0264,0.1762,0.7311
05_CharNet,T,0.8733,0.0195,0.1385,0.7311
05_CharNet,U,0.8283,0.0322,0.2051,0.7311
05_CharNet,V,0.8407,0.0305,0.197,0.7311
05_CharNet,W,0.8273,0.034,0.2141,0.7311
05_CharNet,X,0.85,0.0214,0.149,0.7311
05_CharNet,Y,0.8756,0.0145,0.1095,0.7311
05_CharNet,Z,0.8255,0.0294,0.1915,0.7311
